Year,Month,Nationality,Sector,Level Of Study,Broad Field Of Education,State,SA4_NAME_2021,Enrolment,Commencement,ABSRemotenessArea
2019,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,4149,2662,_Total
2019,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - South,85,64,_Total
2018,Dec,_Total,_Total,_Total,_Total,NT,Northern Territory - Outback,7,4,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane Inner City,54527,32871,_Total
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,5010,2757,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Logan - Beaudesert,1925,1186,_Total
2018,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,3938,2574,_Total
2020,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Wheat Belt,4,4,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4419,2370,_Total
2019,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Wheat Belt,8,8,_Total
2018,Dec,_Total,_Total,_Total,_Total,VIC,Hume,176,46,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Mid North Coast,95,77,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Moreton Bay - South,93,58,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Toowoomba,1892,643,_Total
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Outer East,695,216,_Total
2018,Dec,_Total,_Total,_Total,_Total,WA,Western Australia - Outback (North),15,12,_Total
2020,Dec,_Total,_Total,_Total,_Total,VIC,Ballarat,1392,402,_Total
2019,Dec,_Total,_Total,_Total,_Total,NSW,Central Coast,132,69,_Total
2020,Dec,_Total,_Total,_Total,_Total,NSW,Central Coast,163,62,_Total
2020,Dec,_Total,_Total,_Total,_Total,WA,Perth - South West,4950,1791,_Total
2018,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - North,2097,995,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,1348,929,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Outer South West,808,378,_Total
2020,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - North,1219,526,_Total
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,1339,926,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,TAS,West and North West,9,8,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,TAS,West and North West,12,11,Outer Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Inner West,7245,3904,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Latrobe - Gippsland,238,98,Inner Regional Australia
2020,Dec,_Total,_Total,_Total,_Total,VIC,Melbourne - Outer East,695,216,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Outer South West,1148,549,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,NSW,Central Coast,163,62,Major Cities of Australia
